"Timestamp";"TransactionID";"AccountID";"Amount";"Merchant";"TransactionType";"Location";"TransactionCount";"MeanAmount";"StdAmount";"UniqueMerchants";"TransactionDate";"ActiveDays";"IsoForest_Anomaly";"DBSCAN_Anomaly";"Anomaly"
"01-01-2023 08:56";"TXN1070";"ACC5";"88350.57";"MerchantI";"Purchase";"Tokyo";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-01 08:56:00";"14630";"-1";"5";"1"
"01-01-2023 10:34";"TXN1313";"ACC5";"10187.23";"MerchantF";"Withdrawal";"London";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-01 10:34:00";"14630";"-1";"5";"1"
"01-01-2023 10:59";"TXN1546";"ACC5";"87677.8";"MerchantA";"Withdrawal";"Tokyo";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-01 10:59:00";"14630";"-1";"5";"1"
"01-01-2023 15:05";"TXN962";"ACC15";"20576.67";"MerchantA";"Withdrawal";"London";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-01 15:05:00";"14701";"-1";"3";"1"
"01-01-2023 15:07";"TXN1802";"ACC5";"12532.1";"MerchantH";"Withdrawal";"Tokyo";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-01 15:07:00";"14630";"-1";"5";"1"
"01-01-2023 17:19";"TXN1217";"ACC15";"15454.43";"MerchantJ";"Withdrawal";"London";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-01 17:19:00";"14701";"-1";"3";"1"
"01-01-2023 19:42";"TXN726";"ACC5";"7220.39";"MerchantG";"Purchase";"Tokyo";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-01 19:42:00";"14630";"-1";"5";"1"
"01-01-2023 20:37";"TXN1968";"ACC15";"11548.31";"MerchantA";"Purchase";"Tokyo";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-01 20:37:00";"14701";"-1";"3";"1"
"02-01-2023 03:30";"TXN1291";"ACC15";"2486.24";"MerchantI";"Withdrawal";"San Francisco";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-02 03:30:00";"14701";"-1";"3";"1"
"02-01-2023 03:51";"TXN1274";"ACC15";"9966.98";"MerchantB";"Purchase";"Tokyo";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-02 03:51:00";"14701";"-1";"3";"1"
"02-01-2023 04:32";"TXN219";"ACC5";"94537.71";"MerchantH";"Withdrawal";"London";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-02 04:32:00";"14630";"-1";"5";"1"
"02-01-2023 07:30";"TXN344";"ACC5";"10635.53";"MerchantJ";"Purchase";"Tokyo";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-02 07:30:00";"14630";"-1";"5";"1"
"02-01-2023 09:23";"TXN932";"ACC5";"88142.22";"MerchantA";"Withdrawal";"Tokyo";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-02 09:23:00";"14630";"-1";"5";"1"
"02-01-2023 10:11";"TXN1444";"ACC5";"88130.94";"MerchantJ";"Purchase";"London";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-02 10:11:00";"14630";"-1";"5";"1"
"02-01-2023 12:25";"TXN1763";"ACC5";"8080.04";"MerchantE";"Withdrawal";"London";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-02 12:25:00";"14630";"-1";"5";"1"
"02-01-2023 14:40";"TXN195";"ACC15";"4939.47";"MerchantA";"Purchase";"New York";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-02 14:40:00";"14701";"-1";"3";"1"
"02-01-2023 15:11";"TXN26";"ACC15";"10235.41";"MerchantA";"Withdrawal";"Tokyo";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-02 15:11:00";"14701";"-1";"3";"1"
"02-01-2023 15:30";"TXN1817";"ACC15";"34.29";"MerchantJ";"Purchase";"Tokyo";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-02 15:30:00";"14701";"-1";"3";"1"
"02-01-2023 16:55";"TXN1448";"ACC5";"93858.44";"MerchantA";"Withdrawal";"London";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-02 16:55:00";"14630";"-1";"5";"1"
"02-01-2023 17:26";"TXN246";"ACC15";"24016.07";"MerchantA";"Withdrawal";"Tokyo";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-02 17:26:00";"14701";"-1";"3";"1"
"02-01-2023 18:23";"TXN1982";"ACC15";"81045.19";"MerchantJ";"Withdrawal";"London";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-02 18:23:00";"14701";"-1";"3";"1"
"02-01-2023 20:47";"TXN1704";"ACC5";"9513.7";"MerchantF";"Withdrawal";"London";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-02 20:47:00";"14630";"-1";"5";"1"
"03-01-2023 00:13";"TXN683";"ACC5";"1934.7";"MerchantE";"Purchase";"Tokyo";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-03 00:13:00";"14630";"-1";"5";"1"
"03-01-2023 00:39";"TXN1680";"ACC5";"71095.85";"MerchantJ";"Withdrawal";"Tokyo";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-03 00:39:00";"14630";"-1";"5";"1"
"03-01-2023 03:31";"TXN1687";"ACC15";"39394.52";"MerchantA";"Purchase";"Tokyo";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-03 03:31:00";"14701";"-1";"3";"1"
"03-01-2023 04:40";"TXN528";"ACC15";"6957.3";"MerchantA";"Withdrawal";"San Francisco";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-03 04:40:00";"14701";"-1";"3";"1"
"03-01-2023 05:41";"TXN1790";"ACC5";"4257.45";"MerchantE";"Withdrawal";"London";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-03 05:41:00";"14630";"-1";"5";"1"
"03-01-2023 06:15";"TXN1049";"ACC14";"978942.26";"MerchantJ";"Transfer";"New York";"14458";"50013.096792087425";"29912.49144728763";"10";"2023-01-03 06:15:00";"14458";"1";"-1";"1"
"03-01-2023 06:19";"TXN1389";"ACC15";"89040.97";"MerchantJ";"Withdrawal";"London";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-03 06:19:00";"14701";"-1";"3";"1"
"03-01-2023 09:31";"TXN897";"ACC15";"2838.21";"MerchantA";"Transfer";"Tokyo";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-03 09:31:00";"14701";"-1";"3";"1"
"03-01-2023 10:57";"TXN506";"ACC3";"8786.08";"MerchantA";"Withdrawal";"Tokyo";"14285";"49910.79913545677";"28911.692974480055";"10";"2023-01-03 10:57:00";"14285";"-1";"2";"1"
"03-01-2023 12:43";"TXN1335";"ACC5";"18899.5";"MerchantC";"Withdrawal";"London";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-03 12:43:00";"14630";"-1";"5";"1"
"03-01-2023 14:03";"TXN1001";"ACC5";"75843.27";"MerchantA";"Withdrawal";"Tokyo";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-03 14:03:00";"14630";"-1";"5";"1"
"03-01-2023 14:05";"TXN1649";"ACC15";"14328.32";"MerchantJ";"Withdrawal";"Tokyo";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-03 14:05:00";"14701";"-1";"3";"1"
"03-01-2023 15:05";"TXN1498";"ACC15";"14088.58";"MerchantI";"Withdrawal";"Tokyo";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-03 15:05:00";"14701";"-1";"3";"1"
"03-01-2023 16:15";"TXN864";"ACC5";"8060.85";"MerchantB";"Withdrawal";"London";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-03 16:15:00";"14630";"-1";"5";"1"
"03-01-2023 17:28";"TXN827";"ACC12";"712076.97";"MerchantA";"Withdrawal";"Tokyo";"14421";"50272.45223840233";"29320.279830588675";"10";"2023-01-03 17:28:00";"14421";"1";"-1";"1"
"03-01-2023 17:33";"TXN1690";"ACC8";"489492.3";"MerchantF";"Purchase";"Tokyo";"14402";"50481.295046521314";"29290.474358926323";"10";"2023-01-03 17:33:00";"14402";"1";"-1";"1"
"03-01-2023 18:51";"TXN1321";"ACC15";"43028.55";"MerchantA";"Purchase";"Tokyo";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-03 18:51:00";"14701";"-1";"3";"1"
"03-01-2023 20:46";"TXN1481";"ACC5";"97038.68";"MerchantA";"Withdrawal";"Tokyo";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-03 20:46:00";"14630";"-1";"5";"1"
"03-01-2023 21:05";"TXN562";"ACC15";"94918.9";"MerchantJ";"Withdrawal";"London";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-03 21:05:00";"14701";"-1";"3";"1"
"03-01-2023 21:27";"TXN1603";"ACC15";"63235.94";"MerchantA";"Purchase";"Tokyo";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-03 21:27:00";"14701";"-1";"3";"1"
"04-01-2023 02:17";"TXN1492";"ACC5";"91619.55";"MerchantI";"Withdrawal";"Tokyo";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-04 02:17:00";"14630";"-1";"5";"1"
"04-01-2023 03:07";"TXN671";"ACC5";"87507.15";"MerchantJ";"Purchase";"Tokyo";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-04 03:07:00";"14630";"-1";"5";"1"
"04-01-2023 04:54";"TXN941";"ACC5";"10281.31";"MerchantC";"Withdrawal";"London";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-04 04:54:00";"14630";"-1";"5";"1"
"04-01-2023 05:05";"TXN179";"ACC5";"33123.26";"MerchantA";"Purchase";"London";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-04 05:05:00";"14630";"-1";"5";"1"
"04-01-2023 05:08";"TXN625";"ACC1";"187344.37";"MerchantD";"Purchase";"San Francisco";"14365";"50428.5296484511";"28969.640092054804";"10";"2023-01-04 05:08:00";"14365";"1";"-1";"1"
"04-01-2023 05:39";"TXN1404";"ACC5";"7669.52";"MerchantG";"Withdrawal";"Tokyo";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-04 05:39:00";"14630";"-1";"5";"1"
"04-01-2023 05:54";"TXN667";"ACC3";"272990.11";"MerchantE";"Transfer";"Los Angeles";"14285";"49910.79913545677";"28911.692974480055";"10";"2023-01-04 05:54:00";"14285";"1";"-1";"1"
"04-01-2023 06:05";"TXN816";"ACC15";"64976.79";"MerchantA";"Purchase";"Tokyo";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-04 06:05:00";"14701";"-1";"3";"1"
"04-01-2023 06:22";"TXN1599";"ACC5";"14871.2";"MerchantI";"Withdrawal";"London";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-04 06:22:00";"14630";"-1";"5";"1"
"04-01-2023 07:34";"TXN1047";"ACC5";"31687.35";"MerchantB";"Withdrawal";"London";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-04 07:34:00";"14630";"-1";"5";"1"
"04-01-2023 09:21";"TXN57";"ACC15";"21364.17";"MerchantJ";"Withdrawal";"Tokyo";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-04 09:21:00";"14701";"-1";"3";"1"
"04-01-2023 11:13";"TXN1646";"ACC15";"8686.46";"MerchantI";"Withdrawal";"London";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-04 11:13:00";"14701";"-1";"3";"1"
"04-01-2023 13:06";"TXN525";"ACC15";"1531.5";"MerchantD";"Withdrawal";"Tokyo";"14701";"50371.89460580913";"28860.449456233724";"10";"2023-01-04 13:06:00";"14701";"-1";"3";"1"
"04-01-2023 13:58";"TXN651";"ACC5";"11850.89";"MerchantH";"Withdrawal";"London";"14630";"50194.70615584415";"30071.156125134446";"10";"2023-01-04 13:58:00";"14630";"-1";"5";"1"
